date,country_code,country_name,GDP_usd,CPI_index,FX_local_per_USD,Exports_usd,Imports_usd,Trade_balance_usd,Interest_rate_percent,WTI_usd_per_barrel
2022-06-01,THA,Thailand,504087025234.85767,115.8095617678035,34.95336620046044,329689961600.36914,331360757797.1955,-1670796196.826355,3.61645833333333,114.83714285714285
2022-07-01,THA,Thailand,505775490764.297,116.59984441067701,34.931769397657,330824626044.203,330734804888.473,89821155.72998047,3.71208333333333,101.619
2022-08-01,THA,Thailand,507463956293.7363,117.3901270535505,34.91017259485356,331959290488.03687,330108851979.7505,1850438508.286377,3.80770833333333,93.66521739130435
2022-09-01,THA,Thailand,509152421823.17566,118.18040969642401,34.88857579205013,333093954931.87067,329482899071.028,3611055860.8426514,3.90333333333333,84.25809523809524
2022-10-01,THA,Thailand,510840887352.615,118.9706923392975,34.866978989246704,334228619375.70447,328856946162.3055,5371673213.398987,3.99895833333333,87.5547619047619
2022-11-01,THA,Thailand,512529352882.0543,119.760974982171,34.84538218644327,335363283819.5383,328230993253.583,7132290565.955322,4.09458333333333,84.37047619047618
2022-12-01,THA,Thailand,514217818411.49365,120.55125762504451,34.82378538363983,336497948263.3722,327605040344.8605,8892907918.511719,4.19020833333333,76.43714285714286
2023-01-01,THA,Thailand,515906283940.933,121.341540267918,34.8021885808364,337632612707.206,326979087436.138,10653525271.067993,4.28583333333333,78.123
2023-02-01,THA,Thailand,516790565182.66223,121.47964771117684,34.84313437250071,340231911841.84015,328995285491.92035,11236626349.9198,4.276111111111108,76.83263157894737
2023-03-01,THA,Thailand,517674846424.3915,121.61775515443567,34.88408016416501,342831210976.4743,331011483547.70264,11819727428.771667,4.266388888888887,73.27782608695652
2023-04-01,THA,Thailand,518559127666.1207,121.7558625976945,34.92502595582933,345430510111.1085,333027681603.485,12402828507.623535,4.256666666666665,79.44631578947369
2023-05-01,THA,Thailand,519443408907.85,121.89397004095333,34.96597174749363,348029809245.7427,335043879659.26733,12985929586.475342,4.246944444444443,71.57818181818182
2023-06-01,THA,Thailand,520327690149.5792,122.03207748421217,35.00691753915794,350629108380.37683,337060077715.0497,13569030665.327148,4.237222222222222,70.24809523809525
2023-07-01,THA,Thailand,521211971391.3085,122.17018492747101,35.04786333082225,353228407515.011,339076275770.83203,14152131744.178955,4.2275,76.0695
2023-08-01,THA,Thailand,522096252633.0378,122.30829237072984,35.08880912248656,355827706649.64514,341092473826.6143,14735232823.030823,4.217777777777778,81.38608695652174
2023-09-01,THA,Thailand,522980533874.767,122.44639981398868,35.129754914150865,358427005784.2793,343108671882.39667,15318333901.88263,4.208055555555557,89.425
2023-10-01,THA,Thailand,523864815116.4963,122.58450725724751,35.17070070581517,361026304918.91345,345124869938.179,15901434980.734436,4.198333333333335,85.63952380952381
2023-11-01,THA,Thailand,524749096358.2255,122.72261470050634,35.21164649747948,363625604053.54767,347141067993.9613,16484536059.586365,4.188611111111113,77.685
2023-12-01,THA,Thailand,525633377599.9548,122.86072214376517,35.25259228914379,366224903188.1818,349157266049.74365,17067637138.438171,4.178888888888892,71.9
2024-01-01,THA,Thailand,526517658841.684,122.998829587024,35.2935380808081,368824202322.816,351173464105.526,17650738217.289978,4.16916666666667,74.15238095238095
2006-01-01,VNM,Vietnam,66371664817.0436,64.3272394775767,15994.25,44944777029.2449,46856276474.358,-1911499445.1130981,11.17625,65.485
2006-02-01,VNM,Vietnam,67291894876.64374,64.77455227970438,16003.489583333334,45748629570.21599,48376241963.32453,-2627612393.1085434,11.1765625,61.631052631578946
